Males	Females	Sequences	P	Signif
21	6	4	0.000540991	False
21	7	1	0.0014334	False
21	8	1	0.00348565	False
21	9	10	0.00783493	False
21	10	19	0.0163781	False
21	11	32	0.0320058	False
21	12	42	0.0587306	False
21	13	91	0.101585	False
21	14	60	0.166169	False
21	15	87	0.257785	False
21	16	75	0.380211	False
21	17	108	0.534341	False
21	18	227	0.717028	False
21	19	170	0.920581	False
21	20	232	1	False
21	21	203	1	False
21	22	269	0.85005	False
21	23	165	0.637885	False
21	24	197	0.446358	False
21	25	133	0.287605	False
21	26	87	0.168059	False
21	27	48	0.0873945	False
21	28	17	0.0394898	False
21	29	30	0.0150321	False
21	30	10	0.0046267	False
22	0	11	4.69452e-08	True
22	1	2	2.70477e-07	False
22	2	0	1.33011e-06	False
22	3	5	5.68434e-06	False
22	4	5	2.14335e-05	False
22	5	0	7.22255e-05	False
22	6	0	0.000219889	False
22	7	1	0.000610471	False
22	8	3	0.00155783	False
22	9	7	0.00367889	False
22	10	10	0.00808694	False
22	11	14	0.0166297	False
22	12	33	0.0321269	False
22	13	67	0.0585211	False
22	14	48	0.100822	False
22	15	65	0.164715	False
22	16	54	0.25575	False
22	17	112	0.378115	False
22	18	135	0.533196	False
22	19	201	0.718241	False
22	20	190	0.925633	False
22	21	136	1	False
22	22	195	1	False
22	23	220	0.838621	False
22	24	169	0.620142	False
22	25	156	0.423994	False
22	26	114	0.263728	False
22	27	91	0.146257	False
22	28	27	0.0704702	False
22	29	20	0.0285121	False
22	30	5	0.00925102	False
23	0	54	1.45855e-08	True
23	1	1	8.59634e-08	True
23	2	0	4.35141e-07	False
23	3	8	1.92361e-06	False
23	4	2	7.53202e-06	False
23	5	1	2.64388e-05	False
23	6	1	8.40564e-05	False
23	7	1	0.000244189	False
23	8	4	0.000653119	False
23	9	5	0.0016188	False
23	10	3	0.00373899	False
23	11	9	0.00808645	False
23	12	27	0.016443	False
23	13	36	0.0315456	False
23	14	68	0.0572672	False
23	15	76	0.0986168	False
23	16	83	0.161419	False
23	17	166	0.25156	False
23	18	118	0.373766	False
23	19	112	0.530049	False
23	20	209	0.718157	False
23	21	150	0.930545	False
23	22	196	1	False
23	23	382	1	False
23	24	345	0.825439	False
23	25	223	0.59893	False
23	26	250	0.397156	False
23	27	150	0.235564	False
23	28	66	0.121527	False
23	29	81	0.052525	False
23	30	33	0.0180568	False
24	0	6	4.27767e-09	True
24	1	0	2.5767e-08	True
24	2	0	1.34089e-07	True
24	3	4	6.12254e-07	False
24	4	1	2.48557e-06	False
24	5	0	9.07391e-06	False
24	6	0	3.0079e-05	False
24	7	1	9.13009e-05	False
24	8	0	0.000255605	False
24	9	1	0.00066414	False
24	10	0	0.00161022	False
24	11	4	0.0036598	False
24	12	17	0.00782892	False
24	13	20	0.0158155	False
24	14	32	0.0302578	False
24	15	58	0.0549522	False
24	16	80	0.0949193	False
24	17	250	0.15617	False
24	18	87	0.245024	False
24	19	180	0.366894	False
24	20	203	0.524607	False
24	21	351	0.716574	False
24	22	197	0.935358	False
24	23	258	1	False
24	24	218	1	False
24	25	244	0.809909	False
24	26	271	0.573149	False
24	27	246	0.364604	False
24	28	110	0.202318	False
24	29	84	0.0939697	False
24	30	21	0.0344475	False
25	0	2	1.17874e-09	True
25	1	0	7.2492e-09	True
25	2	0	3.87292e-08	True
25	3	0	1.82369e-07	False
25	4	3	7.66331e-07	False
25	5	1	2.90456e-06	False
25	6	1	1.0022e-05	False
25	7	2	3.17333e-05	False
25	8	2	9.28483e-05	False
25	9	1	0.000252549	False
25	10	1	0.000641946	False
25	11	2	0.00153175	False
25	12	7	0.0034443	False
25	13	17	0.00732271	False
25	14	16	0.0147609	False
25	15	55	0.0282762	False
25	16	52	0.0515706	False
25	17	51	0.0896758	False
25	18	77	0.148826	False
25	19	87	0.235875	False
25	20	92	0.357111	False
25	21	171	0.516436	False
25	22	174	0.713178	False
25	23	191	0.940108	False
25	24	236	1	False
25	25	320	1	False
25	26	297	0.791119	False
25	27	280	0.541103	False
25	28	209	0.324532	False
25	29	102	0.16313	False
25	30	31	0.0642908	False
26	0	9	3.03606e-10	True
26	1	0	1.90403e-09	True
26	2	0	1.04276e-08	True
26	3	0	5.05505e-08	True
26	4	10	2.19467e-07	False
26	5	3	8.62011e-07	False
26	6	1	3.09012e-06	False
26	7	4	1.01879e-05	False
26	8	2	3.10982e-05	False
26	9	1	8.84022e-05	False
26	10	3	0.000235218	False
26	11	1	0.000588406	False
26	12	2	0.00138912	False
26	13	15	0.00310513	False
26	14	13	0.00659032	False
26	15	14	0.0133113	False
26	16	38	0.0256348	False
26	17	73	0.047136	False
26	18	41	0.0828364	False
26	19	60	0.139213	False
26	20	74	0.22376	False
26	21	121	0.343869	False
26	22	133	0.504889	False
26	23	225	0.707477	False
26	24	324	0.944837	False
26	25	336	1	False
26	26	313	1	False
26	27	310	0.767569	False
26	28	272	0.500027	False
26	29	175	0.274273	False
26	30	102	0.117446	False
27	0	14	7.26756e-11	True
27	1	0	4.64121e-10	True
27	2	1	2.60113e-09	True
27	3	0	1.29569e-08	True
27	4	0	5.80009e-08	True
27	5	3	2.35581e-07	False
27	6	0	8.75509e-07	False
27	7	0	2.99908e-06	False
27	8	1	9.53067e-06	False
27	9	2	2.82569e-05	False
27	10	0	7.85498e-05	False
27	11	0	0.000205624	False
27	12	1	0.000508813	False
27	13	10	0.00119404	False
27	14	7	0.0026649	False
27	15	8	0.0056698	False
27	16	11	0.0115218	False
27	17	25	0.0223974	False
27	18	63	0.041693	False
27	19	50	0.0743693	False
27	20	61	0.127133	False
27	21	136	0.208211	False
27	22	156	0.326388	False
27	23	237	0.488988	False
27	24	289	0.698683	False
27	25	308	0.94959	False
27	26	372	1	False
27	27	386	1	False
27	28	375	0.736575	False
27	29	355	0.445046	False
27	30	188	0.209956	False
28	0	13	1.60653e-11	True
28	1	2	1.04299e-10	True
28	2	1	5.96998e-10	True
28	3	1	3.04903e-09	True
28	4	4	1.40403e-08	True
28	5	2	5.88289e-08	True
28	6	0	2.26095e-07	False
28	7	2	8.02688e-07	False
28	8	1	2.64894e-06	False
28	9	2	8.17071e-06	False
28	10	1	2.36716e-05	False
28	11	1	6.46906e-05	False
28	12	0	0.000167396	False
28	13	2	0.00041151	False
28	14	3	0.000963821	False
28	15	11	0.00215608	False
28	16	5	0.00461623	False
28	17	9	0.00947519	False
28	18	28	0.0186689	False
28	19	33	0.0353382	False
28	20	88	0.0642873	False
28	21	88	0.112381	False
28	22	87	0.188628	False
28	23	111	0.303541	False
28	24	149	0.467194	False
28	25	261	0.685462	False
28	26	416	0.95442	False
28	27	409	1	False
28	28	451	1	False
28	29	550	0.692707	False
28	30	413	0.366683	False
29	0	65	3.25628e-12	True
29	1	1	2.14481e-11	True
29	2	1	1.25096e-10	True
29	3	6	6.53411e-10	True
29	4	1	3.08682e-09	True
